#roi	label	R	G	B	A
201	R_V3B	35	35	9	0
202	R_LO1	141	167	123	0
203	R_LO2	246	132	9	0
204	R_PIT	132	114	0	0
205	R_MT	114	246	255	0
206	R_A1	158	193	255	0
207	R_PSL	114	97	123	0
208	R_SFL	158	0	0	0
209	R_PCV	0	79	255	0
210	R_STV	0	70	149	0
211	R_7Pm	211	255	0	0
212	R_7m	185	79	211	0
213	R_POS1	62	0	26	0
214	R_23d	237	255	176	0
215	R_v23ab	255	123	97	0
216	R_d23ab	70	255	123	0
217	R_31pv	18	167	97	0
218	R_5m	211	167	167	0
219	R_5mv	211	79	132	0
220	R_23c	106	0	193	0
221	R_5L	44	97	70	0
222	R_24dd	0	149	246	0
223	R_24dv	9	62	79	0
224	R_7AL	167	88	9	0
225	R_SCEF	114	97	62	0
226	R_6ma	9	149	0	0
227	R_7Am	158	106	185	0
228	R_7PL	255	255	114	0
229	R_7PC	167	246	202	0
230	R_LIPv	149	176	185	0
231	R_VIP	176	176	9	0
232	R_MIP	44	0	79	0
233	R_1	0	202	255	0
234	R_2	79	35	0	0
235	R_3a	0	185	167	0
236	R_6d	158	0	53	0
237	R_6mp	79	123	176	0
238	R_6v	26	70	193	0
239	R_p24pr	88	211	0	0
240	R_33pr	114	149	53	0
241	R_a24pr	229	167	53	0
242	R_p32pr	246	141	149	0
243	R_a24	106	18	141	0
244	R_d32	229	97	193	0
245	R_8BM	237	211	255	0
246	R_p32	158	255	158	0
247	R_10r	255	79	246	0
248	R_47m	149	97	255	0
249	R_8Av	193	185	97	0
250	R_8Ad	237	44	53	0
251	R_9m	176	106	132	0
252	R_8BL	70	44	88	0
253	R_9p	185	132	88	0
254	R_10d	141	9	255	0
255	R_8C	70	79	0	0
256	R_44	220	211	176	0
257	R_45	229	149	255	0
258	R_47l	0	0	9	0
259	R_a47r	97	62	62	0
260	R_6r	237	0	132	0
261	R_IFJa	176	0	149	0
262	R_IFJp	106	0	0	0
263	R_IFSp	185	167	255	0
264	R_IFSa	167	149	193	0
265	R_p9-46v	132	44	79	0
266	R_46	114	123	114	0
267	R_a9-46v	220	70	0	0
268	R_9-46d	9	53	0	0
269	R_9a	149	202	123	0
270	R_10v	0	18	211	0
271	R_a10p	185	237	255	0
272	R_10pp	88	62	149	0
273	R_11l	70	132	70	0
274	R_13l	176	255	79	0
275	R_OFC	70	202	88	0
276	R_47s	229	88	106	0
277	R_LIPd	237	141	70	0
278	R_6a	123	79	18	0
279	R_i6-8	97	114	202	0
280	R_s6-8	0	255	237	0
281	R_43	79	149	132	0
282	R_OP4	185	0	202	0
283	R_OP1	255	220	114	0
284	R_OP2-3	18	35	185	0
285	R_52	167	0	106	0
286	R_RI	158	114	106	0
287	R_PFcm	26	185	202	0
288	R_PoI2	0	44	35	0
289	R_TA2	149	141	79	0
290	R_FOP4	176	211	9	0
291	R_MI	185	70	53	0
292	R_Pir	0	114	255	0
293	R_AVI	255	246	0	0
294	R_AAIC	97	167	202	0
295	R_FOP1	88	211	158	0
296	R_FOP3	114	70	193	0
297	R_FOP2	141	202	185	0
298	R_PFt	18	53	97	0
299	R_AIP	132	255	0	0
300	R_EC	70	106	123	0
301	R_PreS	0	35	132	0
302	R_H	70	0	62	0
303	R_ProS	176	79	149	0
304	R_PeEc	193	79	255	0
305	R_STGa	211	255	141	0
306	R_PBelt	9	26	88	0
307	R_A5	62	70	62	0
308	R_PHA1	97	88	149	0
309	R_PHA3	246	167	141	0
310	R_STSda	246	123	255	0
311	R_STSdp	229	255	220	0
312	R_STSvp	255	176	202	0
313	R_TGd	123	70	114	0
314	R_TE1a	185	123	255	0
315	R_TE1p	97	158	0	0
316	R_TE2a	255	176	0	0
317	R_TF	44	18	9	0
318	R_TE2p	88	255	79	0
319	R_PHT	211	202	211	0
320	R_PH	176	123	18	0
321	R_TPOJ1	132	53	9	0
322	R_TPOJ2	44	132	35	0
323	R_TPOJ3	106	18	35	0
324	R_DVT	114	62	255	0
325	R_PGp	44	35	53	0
326	R_IP2	70	176	246	0
327	R_IP1	53	229	141	0
328	R_IP0	255	229	158	0
329	R_PFop	246	132	176	0
330	R_PF	97	114	62	0
331	R_PFm	149	62	158	0
332	R_PGi	193	211	88	0
333	R_PGs	176	158	132	0
334	R_V6A	211	114	97	0
335	R_VMV1	141	246	114	0
336	R_VMV3	202	158	79	0
337	R_PHA2	0	211	62	0
338	R_V4t	185	123	176	0
339	R_FST	255	97	176	0
340	R_V3CD	202	35	62	0
341	R_LO3	132	149	220	0
342	R_VMV2	35	0	35	0
343	R_31pd	158	141	149	0
344	R_31a	70	106	0	0
345	R_VVC	202	18	97	0
346	R_25	0	97	97	0
347	R_s32	0	132	97	0
348	R_pOFC	79	62	9	0
349	R_PoI1	97	176	79	0
350	R_Ig	255	26	255	0
351	R_FOP5	0	88	132	0
352	R_p10p	0	97	202	0
353	R_p47r	211	97	44	0
354	R_TGv	211	35	149	0
355	R_MBelt	141	44	193	0
356	R_LBelt	185	220	167	0
357	R_A4	88	35	106	0
358	R_STSva	229	220	44	0
359	R_TE1m	255	202	185	0
360	R_PI	132	141	0	0
361	R_a32pr	255	88	141	0
362	R_p24	237	185	255	0
