#roi	label	R	G	B	A	
2035	ctx_rh_G_temp_sup-Plan_polar	65	220	60	0
2036	ctx_rh_G_temp_sup-Plan_tempo	25	140	20	0
2037	ctx_rh_G_temporal_inf	220	220	100	0
2038	ctx_rh_G_temporal_middle	180	60	60	0
2039	ctx_rh_Lat_Fis-ant-Horizont	61	20	220	0
2040	ctx_rh_Lat_Fis-ant-Vertical	61	20	60	0
2041	ctx_rh_Lat_Fis-post	61	60	100	0
2042	ctx_rh_Medial_wall	25	25	25	0
2043	ctx_rh_Pole_occipital	140	20	60	0
2044	ctx_rh_Pole_temporal	220	180	20	0
2045	ctx_rh_S_calcarine	63	180	180	0
2046	ctx_rh_S_central	221	20	10	0
2047	ctx_rh_S_cingul-Marginalis	221	20	100	0
2048	ctx_rh_S_circular_insula_ant	221	60	140	0
2049	ctx_rh_S_circular_insula_inf	221	20	220	0
2050	ctx_rh_S_circular_insula_sup	61	220	220	0
2051	ctx_rh_S_collat_transv_ant	100	200	200	0
2052	ctx_rh_S_collat_transv_post	10	200	200	0
2053	ctx_rh_S_front_inf	221	220	20	0
2054	ctx_rh_S_front_middle	141	20	100	0
2055	ctx_rh_S_front_sup	61	220	100	0
2056	ctx_rh_S_interm_prim-Jensen	141	60	20	0
2057	ctx_rh_S_intrapariet_and_P_trans	143	20	220	0
2058	ctx_rh_S_oc_middle_and_Lunatus	101	60	220	0
2059	ctx_rh_S_oc_sup_and_transversal	21	20	140	0
2060	ctx_rh_S_occipital_ant	61	20	180	0
2061	ctx_rh_S_oc-temp_lat	221	140	20	0
2062	ctx_rh_S_oc-temp_med_and_Lingual	141	100	220	0
2063	ctx_rh_S_orbital_lateral	221	100	20	0
2064	ctx_rh_S_orbital_med-olfact	181	200	20	0
2065	ctx_rh_S_orbital-H_Shaped	101	20	20	0
2066	ctx_rh_S_parieto_occipital	101	100	180	0
2067	ctx_rh_S_pericallosal	181	220	20	0
2068	ctx_rh_S_postcentral	21	140	200	0
2069	ctx_rh_S_precentral-inf-part	21	20	240	0
2070	ctx_rh_S_precentral-sup-part	21	20	200	0
2071	ctx_rh_S_suborbital	21	20	60	0
2072	ctx_rh_S_subparietal	101	60	60	0
2073	ctx_rh_S_temporal_inf	21	180	180	0
2074	ctx_rh_S_temporal_sup	223	220	60	0
2075	ctx_rh_S_temporal_transverse	221	60	60	0
