#roi	label	R	G	B	A
2007	R_V8	0	88	0	0
2008	R_4	132	132	255	0
2009	R_3b	158	79	70	0
2010	R_FEF	0	255	193	0
2011	R_PEF	0	132	149	0
2012	R_55b	0	0	123	0
2013	R_V3A	149	211	79	0
2014	R_RSC	246	158	220	0
2015	R_POS2	211	18	255	0
2016	R_V7	123	26	106	0
2017	R_IPS1	246	18	97	0
2018	R_FFC	255	193	132	0
2019	R_V3B	35	35	9	0
2020	R_LO1	141	167	123	0
2021	R_LO2	246	132	9	0
2022	R_PIT	132	114	0	0
2023	R_MT	114	246	255	0
2024	R_A1	158	193	255	0
2025	R_PSL	114	97	123	0
2026	R_SFL	158	0	0	0
2027	R_PCV	0	79	255	0
2028	R_STV	0	70	149	0
2029	R_7Pm	211	255	0	0
2030	R_7m	185	79	211	0
2031	R_POS1	62	0	26	0
2032	R_23d	237	255	176	0
2033	R_v23ab	255	123	97	0
2034	R_d23ab	70	255	123	0
2035	R_31pv	18	167	97	0
2036	R_5m	211	167	167	0
2037	R_5mv	211	79	132	0
2038	R_23c	106	0	193	0
2039	R_5L	44	97	70	0
2040	R_24dd	0	149	246	0
2041	R_24dv	9	62	79	0
2042	R_7AL	167	88	9	0
2043	R_SCEF	114	97	62	0
2044	R_6ma	9	149	0	0
2045	R_7Am	158	106	185	0
2046	R_7PL	255	255	114	0
2047	R_7PC	167	246	202	0
2048	R_LIPv	149	176	185	0
2049	R_VIP	176	176	9	0
2050	R_MIP	44	0	79	0
2051	R_1	0	202	255	0
2052	R_2	79	35	0	0
2053	R_3a	0	185	167	0
2054	R_6d	158	0	53	0
2055	R_6mp	79	123	176	0
2056	R_6v	26	70	193	0
2057	R_p24pr	88	211	0	0
2058	R_33pr	114	149	53	0
2059	R_a24pr	229	167	53	0
2060	R_p32pr	246	141	149	0
2061	R_a24	106	18	141	0
2062	R_d32	229	97	193	0
2063	R_8BM	237	211	255	0
2064	R_p32	158	255	158	0
2065	R_10r	255	79	246	0
2066	R_47m	149	97	255	0
2067	R_8Av	193	185	97	0
2068	R_8Ad	237	44	53	0
2069	R_9m	176	106	132	0
2070	R_8BL	70	44	88	0
2071	R_9p	185	132	88	0
2072	R_10d	141	9	255	0
2073	R_8C	70	79	0	0
2074	R_44	220	211	176	0
2075	R_45	229	149	255	0
2076	R_47l	0	0	9	0
2077	R_a47r	97	62	62	0
2078	R_6r	237	0	132	0
2079	R_IFJa	176	0	149	0
2080	R_IFJp	106	0	0	0
2081	R_IFSp	185	167	255	0
2082	R_IFSa	167	149	193	0
2083	R_p9-46v	132	44	79	0
2084	R_46	114	123	114	0
2085	R_a9-46v	220	70	0	0
2086	R_9-46d	9	53	0	0
2087	R_9a	149	202	123	0
2088	R_10v	0	18	211	0
2089	R_a10p	185	237	255	0
2090	R_10pp	88	62	149	0
2091	R_11l	70	132	70	0
2092	R_13l	176	255	79	0
2093	R_OFC	70	202	88	0
2094	R_47s	229	88	106	0
2095	R_LIPd	237	141	70	0
2096	R_6a	123	79	18	0
2097	R_i6-8	97	114	202	0
2098	R_s6-8	0	255	237	0
2099	R_43	79	149	132	0
2100	R_OP4	185	0	202	0
2101	R_OP1	255	220	114	0
2102	R_OP2-3	18	35	185	0
2103	R_52	167	0	106	0
2104	R_RI	158	114	106	0
2105	R_PFcm	26	185	202	0
2106	R_PoI2	0	44	35	0
2107	R_TA2	149	141	79	0
2108	R_FOP4	176	211	9	0
2109	R_MI	185	70	53	0
2110	R_Pir	0	114	255	0
2111	R_AVI	255	246	0	0
2112	R_AAIC	97	167	202	0
2113	R_FOP1	88	211	158	0
2114	R_FOP3	114	70	193	0
2115	R_FOP2	141	202	185	0
2116	R_PFt	18	53	97	0
2117	R_AIP	132	255	0	0
2118	R_EC	70	106	123	0
2119	R_PreS	0	35	132	0
2120	R_H	70	0	62	0
2121	R_ProS	176	79	149	0
2122	R_PeEc	193	79	255	0
2123	R_STGa	211	255	141	0
2124	R_PBelt	9	26	88	0
2125	R_A5	62	70	62	0
2126	R_PHA1	97	88	149	0
2127	R_PHA3	246	167	141	0
2128	R_STSda	246	123	255	0
2129	R_STSdp	229	255	220	0
2130	R_STSvp	255	176	202	0
2131	R_TGd	123	70	114	0
2132	R_TE1a	185	123	255	0
2133	R_TE1p	97	158	0	0
2134	R_TE2a	255	176	0	0
2135	R_TF	44	18	9	0
2136	R_TE2p	88	255	79	0
2137	R_PHT	211	202	211	0
2138	R_PH	176	123	18	0
2139	R_TPOJ1	132	53	9	0
