#roi	label	R	G	B	A
2026	R_VosdeWael_Area_26	0	26	26	0
2027	R_VosdeWael_Area_27	0	27	27	0
2028	R_VosdeWael_Area_28	0	28	28	0
2029	R_VosdeWael_Area_29	0	29	29	0
2030	R_VosdeWael_Area_30	0	30	30	0
2031	R_VosdeWael_Area_31	0	31	31	0
2032	R_VosdeWael_Area_32	0	32	32	0
2033	R_VosdeWael_Area_33	0	33	33	0
2034	R_VosdeWael_Area_34	0	34	34	0
2035	R_VosdeWael_Area_35	0	35	35	0
2036	R_VosdeWael_Area_36	0	36	36	0
2037	R_VosdeWael_Area_37	0	37	37	0
2038	R_VosdeWael_Area_38	0	38	38	0
2039	R_VosdeWael_Area_39	0	39	39	0
2040	R_VosdeWael_Area_40	0	40	40	0
2041	R_VosdeWael_Area_41	0	41	41	0
2042	R_VosdeWael_Area_42	0	42	42	0
2043	R_VosdeWael_Area_43	0	43	43	0
2044	R_VosdeWael_Area_44	0	44	44	0
2045	R_VosdeWael_Area_45	0	45	45	0
2046	R_VosdeWael_Area_46	0	46	46	0
2047	R_VosdeWael_Area_47	0	47	47	0
2048	R_VosdeWael_Area_48	0	48	48	0
2049	R_VosdeWael_Area_49	0	49	49	0
2050	R_VosdeWael_Area_50	0	50	50	0
2051	R_VosdeWael_Area_51	0	51	51	0
2052	R_VosdeWael_Area_52	0	52	52	0
2053	R_VosdeWael_Area_53	0	53	53	0
2054	R_VosdeWael_Area_54	0	54	54	0
2055	R_VosdeWael_Area_55	0	55	55	0
2056	R_VosdeWael_Area_56	0	56	56	0
2057	R_VosdeWael_Area_57	0	57	57	0
2058	R_VosdeWael_Area_58	0	58	58	0
2059	R_VosdeWael_Area_59	0	59	59	0
2060	R_VosdeWael_Area_60	0	60	60	0
2061	R_VosdeWael_Area_61	0	61	61	0
2062	R_VosdeWael_Area_62	0	62	62	0
2063	R_VosdeWael_Area_63	0	63	63	0
2064	R_VosdeWael_Area_64	0	64	64	0
2065	R_VosdeWael_Area_65	0	65	65	0
2066	R_VosdeWael_Area_66	0	66	66	0
2067	R_VosdeWael_Area_67	0	67	67	0
2068	R_VosdeWael_Area_68	0	68	68	0
2069	R_VosdeWael_Area_69	0	69	69	0
2070	R_VosdeWael_Area_70	0	70	70	0
2071	R_VosdeWael_Area_71	0	71	71	0
2072	R_VosdeWael_Area_72	0	72	72	0
2073	R_VosdeWael_Area_73	0	73	73	0
2074	R_VosdeWael_Area_74	0	74	74	0
2075	R_VosdeWael_Area_75	0	75	75	0
2076	R_VosdeWael_Area_76	0	76	76	0
2077	R_VosdeWael_Area_77	0	77	77	0
2078	R_VosdeWael_Area_78	0	78	78	0
2079	R_VosdeWael_Area_79	0	79	79	0
2080	R_VosdeWael_Area_80	0	80	80	0
2081	R_VosdeWael_Area_81	0	81	81	0
2082	R_VosdeWael_Area_82	0	82	82	0
2083	R_VosdeWael_Area_83	0	83	83	0
2084	R_VosdeWael_Area_84	0	84	84	0
2085	R_VosdeWael_Area_85	0	85	85	0
2086	R_VosdeWael_Area_86	0	86	86	0
2087	R_VosdeWael_Area_87	0	87	87	0
2088	R_VosdeWael_Area_88	0	88	88	0
2089	R_VosdeWael_Area_89	0	89	89	0
2090	R_VosdeWael_Area_90	0	90	90	0
2091	R_VosdeWael_Area_91	0	91	91	0
2092	R_VosdeWael_Area_92	0	92	92	0
2093	R_VosdeWael_Area_93	0	93	93	0
2094	R_VosdeWael_Area_94	0	94	94	0
2095	R_VosdeWael_Area_95	0	95	95	0
2096	R_VosdeWael_Area_96	0	96	96	0
2097	R_VosdeWael_Area_97	0	97	97	0
2098	R_VosdeWael_Area_98	0	98	98	0
2099	R_VosdeWael_Area_99	0	99	99	0
2100	R_VosdeWael_Area_100	0	100	100	0
